phoneme,prev_lexeme,lexeme,freq_unweighted,prob_unweighted,freq_weighted,prob_weighted
eh,ν,αι,358,0.04556446480845106,479188,0.4305272293728987
eh,π,ε,7044,0.8960692023915532,671419,0.8737326745171118
eh,π,αι,817,0.10393079760844676,97030,0.12626732548288827
eh,σ,ε,5655,0.9731543624161074,720831,0.9911749620831379
eh,σ,αι,156,0.026845637583892617,6418,0.008825037916862037
eh,δ,ε,2814,0.9532520325203252,549090,0.9937255341982818
eh,δ,αι,138,0.046747967479674794,3467,0.0062744658017181935
eh,ρ,ε,5671,0.9165993211572653,820870,0.9351553332801695
eh,ρ,αι,516,0.08340067884273476,56920,0.06484466671983048
eh,χ,ε,1177,0.77079240340537,278715,0.9323629965142808
eh,χ,αι,350,0.22920759659463,20219,0.06763700348571926
eh,ι,ε,3213,0.893741307371349,404614,0.8737679995162697
eh,ι,αι,382,0.10625869262865091,58454,0.12623200048373026
eh,ο,ε,1103,0.9339542760372566,192032,0.9942220473419346
eh,ο,αι,78,0.06604572396274344,1116,0.005777952658065318
eh,λ,ε,4615,0.8825779307707019,427392,0.8520845959998724
eh,λ,αι,614,0.11742206922929814,74192,0.1479154040001276
eh,φ,ε,1678,0.8427925665494727,211727,0.8954522577998452
eh,φ,αι,313,0.15720743345052737,24720,0.1045477422001548
eh,θ,ε,4532,0.9742046431642304,841450,0.9961807841113042
eh,θ,αι,120,0.025795356835769563,3226,0.003819215888695784
eh,ε,ε,208,0.9629629629629629,82827,0.9999034224663488
eh,ε,αι,8,0.037037037037037035,8,9.657753365123437e-05
eh,ξ,ε,2067,0.944266788487894,139392,0.8175052343278068
eh,ξ,αι,122,0.05573321151210599,31117,0.18249476567219325
eh,οι,ε,33,0.9705882352941176,47856,0.9999791044152371
eh,οι,αι,1,0.029411764705882353,1,2.089558476293959e-05
eh,υ,ε,243,0.9529411764705882,7428,0.995710455764075
eh,υ,αι,12,0.047058823529411764,32,0.004289544235924933
eh,ζ,ε,1281,0.9976635514018691,73655,0.9996064274469355
eh,ζ,αι,3,0.002336448598130841,29,0.0003935725530644373
eh,ευ,ε,420,0.8677685950413223,17546,0.7491247545043122
eh,ευ,αι,64,0.1322314049586777,5876,0.2508752454956878
eh,αι,ε,85,1.0,10653,1.0
eh,αι,αι,0,0.0,0,0.0
eh,ψ,ε,369,0.9892761394101877,14424,0.9997227612974772
eh,ψ,αι,4,0.010723860589812333,4,0.0002772387025228722
eh,ει,ε,238,0.9635627530364372,58552,0.9994196565732427
eh,ει,αι,9,0.03643724696356275,34,0.0005803434267572457
eh,β,ε,1342,0.7480490523968785,129745,0.705216356214568
eh,β,αι,452,0.25195094760312153,54234,0.29478364378543204
eh,ϊ,ε,6,1.0,15,1.0
eh,ϊ,αι,0,0.0,0,0.0
eh,ω,ε,66,0.9295774647887324,1910,0.9973890339425587
eh,ω,αι,5,0.07042253521126761,5,0.0026109660574412533
eh,α,ε,589,0.9949324324324325,29917,0.9998997326203208
eh,α,αι,3,0.005067567567567568,3,0.00010026737967914439
eh,ου,ε,105,0.9130434782608695,2343,0.9898605830164765
eh,ου,αι,10,0.08695652173913043,24,0.010139416983523447
eh,η,ε,52,1.0,2173,1.0
eh,η,αι,0,0.0,0,0.0
eh,υι,ε,3,1.0,3,1.0
eh,υι,αι,0,0.0,0,0.0
eh,αυ,ε,8,1.0,52,1.0
eh,αυ,αι,0,0.0,0,0.0
eh,µ,ε,9,1.0,60,1.0
eh,µ,αι,0,0.0,0,0.0
eh,ς,ε,43,1.0,50,1.0
eh,ς,αι,0,0.0,0,0.0
eh,ϋ,ε,32,1.0,45,1.0
eh,ϋ,αι,0,0.0,0,0.0
oh,κ,ο,11580,0.775204177266033,840371,0.776696633305021
oh,κ,ω,3358,0.22479582273396706,241610,0.22330336669497894
oh,τ,ο,10845,0.7225183211192538,2497969,0.6848537155694295
oh,τ,ω,4165,0.27748167888074615,1149480,0.3151462844305705
oh,^,ο,3203,0.8949427214305672,1740325,0.9029321656207926
oh,^,ω,376,0.1050572785694328,187090,0.09706783437920738
oh,γ,ο,2555,0.6335234316885693,268976,0.6130828510668366
oh,γ,ω,1478,0.3664765683114307,169751,0.3869171489331634
oh,μ,ο,6976,0.8628324056895486,651774,0.8461729206074304
oh,μ,ω,1109,0.13716759431045145,118487,0.15382707939256954
oh,ν,ο,11263,0.7140683446395739,1058082,0.63473329769984
oh,ν,ω,4510,0.28593165536042603,608889,0.36526670230016
oh,π,ο,12183,0.9094505822633622,2026590,0.894552147889189
oh,π,ω,1213,0.0905494177366378,238890,0.10544785211081095
oh,σ,ο,2254,0.5181609195402299,371103,0.5784466082977036
oh,σ,ω,2096,0.48183908045977014,270448,0.42155339170229644
oh,δ,ο,3413,0.7849586016559338,269906,0.7507148181524871
oh,δ,ω,935,0.21504139834406624,89626,0.2492851818475129
oh,ρ,ο,15347,0.7338497585234065,2123558,0.7070485168202032
oh,ρ,ω,5566,0.2661502414765935,879854,0.29295148317979686
